stem,split,source
000001,train,train_folder
000002,train,train_folder
000003,train,train_folder
000004,train,train_folder
000005,train,train_folder
000007,train,train_folder
000008,train,train_folder
000009,train,train_folder
000010,train,train_folder
000011,train,train_folder
000013,train,train_folder
000014,train,train_folder
000015,train,train_folder
000016,train,train_folder
000017,train,train_folder
000018,train,train_folder
000019,train,train_folder
000020,train,train_folder
000021,train,train_folder
000022,train,train_folder
000023,train,train_folder
000025,train,train_folder
000027,train,train_folder
000028,train,train_folder
000029,train,train_folder
000030,train,train_folder
000031,train,train_folder
000032,train,train_folder
000033,train,train_folder
000034,train,train_folder
000035,train,train_folder
000036,train,train_folder
000037,train,train_folder
000038,train,train_folder
000039,train,train_folder
000040,train,train_folder
000041,train,train_folder
000042,train,train_folder
000043,train,train_folder
000044,train,train_folder
000045,train,train_folder
000046,train,train_folder
000047,train,train_folder
000048,train,train_folder
000049,train,train_folder
000050,train,train_folder
000051,train,train_folder
000052,train,train_folder
000053,train,train_folder
000054,train,train_folder
000055,train,train_folder
000056,train,train_folder
000057,train,train_folder
000058,train,train_folder
000059,train,train_folder
000060,train,train_folder
000061,train,train_folder
000062,train,train_folder
000063,train,train_folder
000065,train,train_folder
000066,train,train_folder
000067,train,train_folder
000068,train,train_folder
000069,train,train_folder
000070,train,train_folder
000071,train,train_folder
000072,train,train_folder
000073,train,train_folder
000074,train,train_folder
000075,train,train_folder
000076,train,train_folder
000077,train,train_folder
000078,train,train_folder
000079,train,train_folder
000080,train,train_folder
000081,train,train_folder
000082,train,train_folder
000083,train,train_folder
000084,train,train_folder
000086,train,train_folder
000087,train,train_folder
000088,train,train_folder
000089,train,train_folder
000090,train,train_folder
000091,train,train_folder
000093,train,train_folder
000094,train,train_folder
000095,train,train_folder
000096,train,train_folder
000097,train,train_folder
000098,train,train_folder
000099,train,train_folder
000100,train,train_folder
000101,train,train_folder
000102,train,train_folder
000103,train,train_folder
000104,train,train_folder
000105,train,train_folder
000106,train,train_folder
000107,train,train_folder
000108,train,train_folder
000109,train,train_folder
000111,train,train_folder
000112,train,train_folder
000113,train,train_folder
000114,train,train_folder
000115,train,train_folder
000116,train,train_folder
000117,train,train_folder
000118,train,train_folder
000119,train,train_folder
000120,train,train_folder
000121,train,train_folder
000122,train,train_folder
000123,train,train_folder
000124,train,train_folder
000125,train,train_folder
000127,train,train_folder
000128,train,train_folder
000129,train,train_folder
000130,train,train_folder
000131,train,train_folder
000133,train,train_folder
000134,train,train_folder
000135,train,train_folder
000136,train,train_folder
000138,train,train_folder
000140,train,train_folder
000141,train,train_folder
000143,train,train_folder
000144,train,train_folder
000145,train,train_folder
000146,train,train_folder
000147,train,train_folder
000148,train,train_folder
000149,train,train_folder
000150,train,train_folder
000151,train,train_folder
000152,train,train_folder
000153,train,train_folder
000155,train,train_folder
000156,train,train_folder
000158,train,train_folder
000159,train,train_folder
000160,train,train_folder
000161,train,train_folder
000162,train,train_folder
000163,train,train_folder
000165,train,train_folder
000166,train,train_folder
000167,train,train_folder
000168,train,train_folder
000169,train,train_folder
000171,train,train_folder
000172,train,train_folder
000173,train,train_folder
000174,train,train_folder
000175,train,train_folder
000176,train,train_folder
000177,train,train_folder
000178,train,train_folder
000179,train,train_folder
000180,train,train_folder
000181,train,train_folder
000182,train,train_folder
000183,train,train_folder
000184,train,train_folder
000185,train,train_folder
000186,train,train_folder
000187,train,train_folder
000188,train,train_folder
000189,train,train_folder
000190,train,train_folder
000191,train,train_folder
000192,train,train_folder
000194,train,train_folder
000195,train,train_folder
000196,train,train_folder
000197,train,train_folder
000198,train,train_folder
000199,train,train_folder
000201,train,train_folder
000202,train,train_folder
000203,train,train_folder
000204,train,train_folder
000205,train,train_folder
000206,train,train_folder
000207,train,train_folder
000208,train,train_folder
000210,train,train_folder
000211,train,train_folder
000212,train,train_folder
000213,train,train_folder
000214,train,train_folder
000215,train,train_folder
000216,train,train_folder
000217,train,train_folder
000218,train,train_folder
000219,train,train_folder
000220,train,train_folder
000221,train,train_folder
000222,train,train_folder
000223,train,train_folder
000224,train,train_folder
000225,train,train_folder
000226,train,train_folder
000227,train,train_folder
000228,train,train_folder
000229,train,train_folder
000230,train,train_folder
000231,train,train_folder
000232,train,train_folder
000233,train,train_folder
000234,train,train_folder
000235,train,train_folder
000236,train,train_folder
000237,train,train_folder
000238,train,train_folder
000239,train,train_folder
000240,train,train_folder
000241,train,train_folder
000243,train,train_folder
000244,train,train_folder
000245,train,train_folder
000246,train,train_folder
000247,train,train_folder
000248,train,train_folder
000249,train,train_folder
000250,train,train_folder
000251,train,train_folder
000252,train,train_folder
000253,train,train_folder
000254,train,train_folder
000255,train,train_folder
000257,train,train_folder
000258,train,train_folder
000259,train,train_folder
000260,train,train_folder
000261,train,train_folder
000262,train,train_folder
000263,train,train_folder
000264,train,train_folder
000265,train,train_folder
000266,train,train_folder
000267,train,train_folder
000268,train,train_folder
000269,train,train_folder
000270,train,train_folder
000271,train,train_folder
000272,train,train_folder
000273,train,train_folder
000274,train,train_folder
000275,train,train_folder
000276,train,train_folder
000277,train,train_folder
000278,train,train_folder
000279,train,train_folder
000280,train,train_folder
000282,train,train_folder
000283,train,train_folder
000284,train,train_folder
000285,train,train_folder
000286,train,train_folder
000287,train,train_folder
000288,train,train_folder
000289,train,train_folder
000290,train,train_folder
000291,train,train_folder
000292,train,train_folder
000295,train,train_folder
000296,train,train_folder
000297,train,train_folder
000298,train,train_folder
000299,train,train_folder
000300,train,train_folder
000301,train,train_folder
000302,train,train_folder
000303,train,train_folder
000304,train,train_folder
000305,train,train_folder
000306,train,train_folder
000307,train,train_folder
000308,train,train_folder
000309,train,train_folder
000310,train,train_folder
000311,train,train_folder
000312,train,train_folder
000313,train,train_folder
000314,train,train_folder
000315,train,train_folder
000316,train,train_folder
000318,train,train_folder
000319,train,train_folder
000320,train,train_folder
000321,train,train_folder
000323,train,train_folder
000324,train,train_folder
000325,train,train_folder
000326,train,train_folder
000328,train,train_folder
000329,train,train_folder
000330,train,train_folder
000331,train,train_folder
000333,train,train_folder
000334,train,train_folder
000336,train,train_folder
000337,train,train_folder
000338,train,train_folder
000339,train,train_folder
000340,train,train_folder
000341,train,train_folder
000342,train,train_folder
000343,train,train_folder
000345,train,train_folder
000346,train,train_folder
000347,train,train_folder
000348,train,train_folder
000350,train,train_folder
000351,train,train_folder
000352,train,train_folder
000353,train,train_folder
000354,train,train_folder
000355,train,train_folder
000356,train,train_folder
000357,train,train_folder
000358,train,train_folder
000359,train,train_folder
000360,train,train_folder
000361,train,train_folder
000362,train,train_folder
000364,train,train_folder
000365,train,train_folder
000366,train,train_folder
000367,train,train_folder
000368,train,train_folder
000369,train,train_folder
000373,train,train_folder
000374,train,train_folder
000375,train,train_folder
000376,train,train_folder
000377,train,train_folder
000378,train,train_folder
000379,train,train_folder
000380,train,train_folder
000381,train,train_folder
000382,train,train_folder
000383,train,train_folder
000384,train,train_folder
000385,train,train_folder
000386,train,train_folder
000387,train,train_folder
000388,train,train_folder
000389,train,train_folder
000390,train,train_folder
000391,train,train_folder
000392,train,train_folder
000393,train,train_folder
000394,train,train_folder
000395,train,train_folder
000396,train,train_folder
000397,train,train_folder
000398,train,train_folder
000399,train,train_folder
000400,train,train_folder
000401,train,train_folder
000402,train,train_folder
000404,train,train_folder
000405,train,train_folder
000406,train,train_folder
000407,train,train_folder
000408,train,train_folder
000409,train,train_folder
000410,train,train_folder
000411,train,train_folder
000412,train,train_folder
000413,train,train_folder
000414,train,train_folder
000415,train,train_folder
000417,train,train_folder
000418,train,train_folder
000419,train,train_folder
000420,train,train_folder
000421,train,train_folder
000422,train,train_folder
000423,train,train_folder
000424,train,train_folder
000425,train,train_folder
000426,train,train_folder
000427,train,train_folder
000428,train,train_folder
000429,train,train_folder
000430,train,train_folder
000431,train,train_folder
000432,train,train_folder
000433,train,train_folder
000434,train,train_folder
000435,train,train_folder
000436,train,train_folder
000437,train,train_folder
000438,train,train_folder
000440,train,train_folder
000441,train,train_folder
000442,train,train_folder
000443,train,train_folder
000444,train,train_folder
000445,train,train_folder
000446,train,train_folder
000447,train,train_folder
000448,train,train_folder
000450,train,train_folder
000451,train,train_folder
000452,train,train_folder
000453,train,train_folder
000454,train,train_folder
000455,train,train_folder
000456,train,train_folder
000457,train,train_folder
000458,train,train_folder
000459,train,train_folder
000460,train,train_folder
000462,train,train_folder
000463,train,train_folder
000464,train,train_folder
000465,train,train_folder
000466,train,train_folder
000467,train,train_folder
000468,train,train_folder
000469,train,train_folder
000470,train,train_folder
000471,train,train_folder
000472,train,train_folder
000473,train,train_folder
000474,train,train_folder
000475,train,train_folder
000476,train,train_folder
000477,train,train_folder
000478,train,train_folder
000479,train,train_folder
000480,train,train_folder
000483,train,train_folder
000484,train,train_folder
000485,train,train_folder
000486,train,train_folder
000487,train,train_folder
000488,train,train_folder
000489,train,train_folder
000490,train,train_folder
000491,train,train_folder
000492,train,train_folder
000493,train,train_folder
000494,train,train_folder
000495,train,train_folder
000497,train,train_folder
000499,train,train_folder
000500,train,train_folder
000501,train,train_folder
000502,train,train_folder
000503,train,train_folder
000504,train,train_folder
000505,train,train_folder
000506,train,train_folder
000507,train,train_folder
000508,train,train_folder
000510,train,train_folder
000511,train,train_folder
000512,train,train_folder
000513,train,train_folder
000514,train,train_folder
000515,train,train_folder
000516,train,train_folder
000517,train,train_folder
000518,train,train_folder
000519,train,train_folder
000520,train,train_folder
000521,train,train_folder
000522,train,train_folder
000523,train,train_folder
000524,train,train_folder
000525,train,train_folder
000527,train,train_folder
000528,train,train_folder
000529,train,train_folder
000530,train,train_folder
000531,train,train_folder
000532,train,train_folder
000533,train,train_folder
000535,train,train_folder
000537,train,train_folder
000538,train,train_folder
000539,train,train_folder
000540,train,train_folder
000541,train,train_folder
000542,train,train_folder
000543,train,train_folder
000544,train,train_folder
000545,train,train_folder
000546,train,train_folder
000547,train,train_folder
000549,train,train_folder
000550,train,train_folder
000551,train,train_folder
